GEO.id,GEO.id2,GEO.display-label,total_households,total_households_moe,total_households_perc,ancestry_hungarian,ancestry_hungarian_moe,ancestry_hungarian_perc,ancestry_hungarian_perc-moe
1400000US39095005600,39095005600,"Census Tract 56, Lucas County, Ohio",2153,222,2153,143,117,2.4,2
1400000US39095005701,39095005701,"Census Tract 57.01, Lucas County, Ohio",1472,115,1472,32,36,0.9,1
1400000US39095005702,39095005702,"Census Tract 57.02, Lucas County, Ohio",2170,166,2170,48,44,0.9,0.9
1400000US39095005703,39095005703,"Census Tract 57.03, Lucas County, Ohio",1015,91,1015,37,36,1.6,1.5
1400000US39095005801,39095005801,"Census Tract 58.01, Lucas County, Ohio",1573,74,1573,22,22,0.6,0.6
1400000US39095005802,39095005802,"Census Tract 58.02, Lucas County, Ohio",1906,146,1906,128,94,2.8,2.1
1400000US39095005901,39095005901,"Census Tract 59.01, Lucas County, Ohio",1027,46,1027,95,111,3.6,4.1
1400000US39095005902,39095005902,"Census Tract 59.02, Lucas County, Ohio",1875,109,1875,163,201,3.8,4.6
1400000US39095006000,39095006000,"Census Tract 60, Lucas County, Ohio",1153,39,1153,27,31,1,1.2
1400000US39095006100,39095006100,"Census Tract 61, Lucas County, Ohio",1282,98,1282,92,78,2.9,2.4
1400000US39095006200,39095006200,"Census Tract 62, Lucas County, Ohio",1098,52,1098,91,57,3.3,2.1
1400000US39095006300,39095006300,"Census Tract 63, Lucas County, Ohio",1273,86,1273,51,46,1.6,1.5
1400000US39095006400,39095006400,"Census Tract 64, Lucas County, Ohio",1039,70,1039,199,100,9,4.5
1400000US39095006500,39095006500,"Census Tract 65, Lucas County, Ohio",1103,115,1103,17,21,0.8,0.9
1400000US39095006600,39095006600,"Census Tract 66, Lucas County, Ohio",1147,87,1147,0,11,0,1
1400000US39095006700,39095006700,"Census Tract 67, Lucas County, Ohio",737,79,737,0,11,0,1.9
1400000US39095006800,39095006800,"Census Tract 68, Lucas County, Ohio",2529,182,2529,176,145,3.5,2.9
1400000US39095006900,39095006900,"Census Tract 69, Lucas County, Ohio",1123,60,1123,61,48,2.4,1.9
1400000US39095007001,39095007001,"Census Tract 70.01, Lucas County, Ohio",1636,74,1636,131,116,3.4,2.9
1400000US39095007002,39095007002,"Census Tract 70.02, Lucas County, Ohio",830,57,830,29,21,1.4,1
1400000US39095007101,39095007101,"Census Tract 71.01, Lucas County, Ohio",1869,108,1869,227,122,5,2.7
1400000US39095007102,39095007102,"Census Tract 71.02, Lucas County, Ohio",1649,92,1649,125,90,3.3,2.4
1400000US39095007202,39095007202,"Census Tract 72.02, Lucas County, Ohio",1695,112,1695,11,16,0.3,0.4
1400000US39095007203,39095007203,"Census Tract 72.03, Lucas County, Ohio",1741,60,1741,84,55,2,1.3
1400000US39095007204,39095007204,"Census Tract 72.04, Lucas County, Ohio",2085,151,2085,152,100,3.5,2.3
1400000US39095007205,39095007205,"Census Tract 72.05, Lucas County, Ohio",2623,145,2623,155,115,2.6,2
1400000US39095007301,39095007301,"Census Tract 73.01, Lucas County, Ohio",2037,161,2037,21,30,0.5,0.7
1400000US39095007302,39095007302,"Census Tract 73.02, Lucas County, Ohio",1426,118,1426,6,9,0.2,0.3
1400000US39095007303,39095007303,"Census Tract 73.03, Lucas County, Ohio",2427,150,2427,12,20,0.2,0.4
1400000US39095007400,39095007400,"Census Tract 74, Lucas County, Ohio",2613,187,2613,27,29,0.5,0.5
1400000US39095007500,39095007500,"Census Tract 75, Lucas County, Ohio",1944,117,1944,120,95,2.9,2.4
1400000US39095007600,39095007600,"Census Tract 76, Lucas County, Ohio",1707,88,1707,183,148,4,3.2
1400000US39095007700,39095007700,"Census Tract 77, Lucas County, Ohio",1720,86,1720,245,159,7,4.5
1400000US39095007800,39095007800,"Census Tract 78, Lucas County, Ohio",1982,101,1982,39,27,0.9,0.7
1400000US39095007901,39095007901,"Census Tract 79.01, Lucas County, Ohio",837,59,837,42,44,2.2,2.3
1400000US39095007902,39095007902,"Census Tract 79.02, Lucas County, Ohio",2486,132,2486,84,72,1.5,1.3
1400000US39095008000,39095008000,"Census Tract 80, Lucas County, Ohio",1629,78,1629,76,43,1.8,1
1400000US39095008100,39095008100,"Census Tract 81, Lucas County, Ohio",1528,81,1528,107,71,2.6,1.7
1400000US39095008201,39095008201,"Census Tract 82.01, Lucas County, Ohio",1901,82,1901,221,105,4.6,2.2
1400000US39095008202,39095008202,"Census Tract 82.02, Lucas County, Ohio",2120,121,2120,157,131,2.7,2.2
1400000US39095008203,39095008203,"Census Tract 82.03, Lucas County, Ohio",2982,168,2982,103,102,1.4,1.4
1400000US39095008301,39095008301,"Census Tract 83.01, Lucas County, Ohio",2477,165,2477,74,54,1.3,0.9
1400000US39095008302,39095008302,"Census Tract 83.02, Lucas County, Ohio",704,28,704,71,66,4.3,4.1
1400000US39095008400,39095008400,"Census Tract 84, Lucas County, Ohio",2100,112,2100,150,170,3.3,3.6
1400000US39095008500,39095008500,"Census Tract 85, Lucas County, Ohio",1844,110,1844,203,155,5.3,4
1400000US39095008600,39095008600,"Census Tract 86, Lucas County, Ohio",2320,125,2320,81,68,1.5,1.3
1400000US39095008700,39095008700,"Census Tract 87, Lucas County, Ohio",3413,177,3413,108,67,1.3,0.8
1400000US39095008800,39095008800,"Census Tract 88, Lucas County, Ohio",2998,120,2998,173,127,2.3,1.7
1400000US39095008901,39095008901,"Census Tract 89.01, Lucas County, Ohio",1841,139,1841,287,134,5.6,2.6
1400000US39095008902,39095008902,"Census Tract 89.02, Lucas County, Ohio",2341,134,2341,128,137,2.1,2.2
1400000US39095009000,39095009000,"Census Tract 90, Lucas County, Ohio",4313,239,4313,799,424,6.6,3.5
1400000US39095009101,39095009101,"Census Tract 91.01, Lucas County, Ohio",1453,106,1453,65,58,1.7,1.5
1400000US39095009102,39095009102,"Census Tract 91.02, Lucas County, Ohio",1996,126,1996,123,69,2.4,1.3
1400000US39095009201,39095009201,"Census Tract 92.01, Lucas County, Ohio",2753,111,2753,192,133,2.3,1.6
1400000US39095009202,39095009202,"Census Tract 92.02, Lucas County, Ohio",2740,125,2740,139,87,1.9,1.2
1400000US39095009300,39095009300,"Census Tract 93, Lucas County, Ohio",737,60,737,47,38,2.6,2.2
1400000US39095009400,39095009400,"Census Tract 94, Lucas County, Ohio",904,79,904,6,9,0.3,0.4
1400000US39095009500,39095009500,"Census Tract 95, Lucas County, Ohio",1247,87,1247,57,51,1.9,1.7
1400000US39095009600,39095009600,"Census Tract 96, Lucas County, Ohio",1203,68,1203,47,47,1.4,1.4
1400000US39095009700,39095009700,"Census Tract 97, Lucas County, Ohio",1274,117,1274,257,112,8.3,3.6
1400000US39095009800,39095009800,"Census Tract 98, Lucas County, Ohio",1718,90,1718,432,154,9.9,3.5
1400000US39095009900,39095009900,"Census Tract 99, Lucas County, Ohio",1831,96,1831,499,189,10.7,4.2
1400000US39095010001,39095010001,"Census Tract 100.01, Lucas County, Ohio",1642,116,1642,399,192,10,4.8
1400000US39095010002,39095010002,"Census Tract 100.02, Lucas County, Ohio",1482,78,1482,133,67,4.1,2.1
1400000US39095010100,39095010100,"Census Tract 101, Lucas County, Ohio",1706,92,1706,529,208,12.6,4.9
1400000US39095010200,39095010200,"Census Tract 102, Lucas County, Ohio",1061,83,1061,38,26,1.5,1.1
1400000US39095010300,39095010300,"Census Tract 103, Lucas County, Ohio",840,89,840,39,50,1.6,2.2
1400000US39095010400,39095010400,"Census Tract 104, Lucas County, Ohio",112,37,112,103,54,3.3,1.7
1400000US39095990000,39095990000,"Census Tract 9900, Lucas County, Ohio",0,11,0,0,11,-,**
